Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
340952.7946654314,340001.1467935022,337455.1936930649,341313.28360000654,336777.66761513567,333005.9448487693,339828.94895421853,342017.0953294153
340932.946316355,339991.49083989754,337463.77676293574,341329.37685601437,336810.92701088515,333002.1897557008,339832.1676054201,342026.75128301996
340896.46826940397,339992.0272817644,337471.8233909397,341312.74715813965,336780.3498244703,333004.87196503545,339857.38037316565,342016.55888754834
340891.1038507347,339987.735746829,337466.9954141373,341302.55476266803,336792.6879874096,332997.36177889846,339860.5990243672,342027.8241667538
340931.8734326212,339997.92814230063,337463.24032106885,341318.1115768089,336824.33805755834,333003.7990813016,339862.208349968,342025.6783992861
340884.66654833156,340117.01823675854,337447.6835069279,341304.7005301357,336816.82787142135,332998.97110449924,339862.208349968,342044.45386462857
340861.5995480537,340104.1436319523,337462.7038792019,341327.7675304136,-2249995.976685998,340870.1826179245,340111.11737622233,337466.9954141373
340491.99110174074,340184.6099119914,337453.5843674641,341284.8521810594,336798.5888479458,333011.8457093055,339861.67190810107,342016.0224456814
340988.1998286486,340161.0064698466,337453.5843674641,341308.9920650711,336774.98540580104,333008.090616237,339857.9168150326,342018.7046550161
340950.64889796363,340143.84033010487,337460.0216698673,341321.3302280105,336773.37608020025,333019.89233730943,339858.98969876644,342026.214841153
340908.2699904764,340112.7267018231,337478.7971352097,341346.00655388914,336766.9387777971,333012.9185930394,339867.0363267704,342043.9174227616
340913.6344091457,340104.6800738192,337487.38020508055,341354.58962375997,336780.3498244703,333016.67368610785,339867.0363267704,342044.45386462857
340886.27587393235,340092.3419108799,337484.161553879,341332.059065349,336755.67349859164,333026.3296397125,339882.05669904436,342046.06319022935
340910.95219981106,340080.5401898075,337494.89039121754,341347.6158794899,336753.5277311239,333033.3033839826,341674.8454183156,35322.551169699575
340893.24961820245,340075.17577113817,337500.79125175375,341344.9336701553,336792.1515455427,333035.98559331725,339874.0100710404,342056.255585701
340874.47415285994,340055.3274220619,337512.59297282615,341365.8549029654,336814.6821039536,333034.9127095834,339875.08295477426,342075.56749291037
340878.22924592847,340053.7180964611,337525.4675776324,341374.43797283625,336801.2710572805,333030.08473278105,339882.59314091125,342070.739516108
340873.4012691261,340046.74435219105,337517.4209496285,341353.5167400261,336802.8803828812,333027.9389653133,339908.3423505238,342070.739516108
340871.7919435253,340040.3070497879,337513.66585656,341361.0269261631,336825.94738315913,333031.69405838184,339907.80590865685,342084.6870046481
340851.943594449,340045.6714684572,337514.73874029383,341350.29808882455,336788.3964524742,333045.6415469219,339909.95167612453,342083.0776790473
340857.8444549852,340049.4265615257,337505.6192285561,341377.12018217094,336800.73461541353,333041.88645385345,339897.61351318524,342104.53535372444
340883.5936645977,340049.4265615257,337496.49971681833,341369.60999603395,336847.94149970316,333041.3500119865,339896.00418758445,342110.43621426064
340878.7656877954,340048.35367779183,337490.59885628213,341389.45834511024,336821.6558482237,333050.4695237243,339906.19658305607,342112.5819817283
340866.42752485606,340039.23416605406,337512.59297282615,341389.45834511024,336821.6558482237,333045.10510505503,339911.5610017253,342106.1446793252
340880.9114552631,340042.9892591225,337509.3743216246,341400.1871824488,336829.7024762276,333053.1517330589,339898.6863969191,342107.21756305906
340895.9318275371,340042.9892591225,337502.40057735454,341408.2338104527,336851.6965927716,333061.19836106285,339908.3423505238,342113.11842359527
340896.46826940397,340045.13502659026,337515.81162402773,341404.4787173842,336852.2330346386,333064.9534541313,339922.2898390639,342109.8997723937
340884.13010646467,340039.23416605406,337519.5667170962,341415.2075547227,336853.3059183724,333065.48989599827,339915.31609479384,342116.87351666373
340886.27587393235,340041.3799335218,337528.149786967,341421.6448571259,336844.7228485016,333062.80768666364,339922.2898390639,342107.21756305906
340862.13598992064,340048.35367779183,337527.0769032332,341422.7177408597,336825.94738315913,333062.80768666364,339926.5813739993,342105.0717955913
340890.56740886776,340068.7384687351,337517.4209496285,341396.9685312472,336820.5829644898,333073.53652400215,339922.2898390639,342098.63449318823
340938.8471768912,340067.66558500123,337514.73874029383,341387.84901950945,336849.5508253039,333084.2653613407,339929.26358333393,342108.82688865985
340976.3981075762,340074.6393292713,337520.10315896315,341419.4990896582,336889.2475234565,333083.1924776069,339911.5610017253,342111.5090979945
340951.1853398306,340080.5401898075,337524.93113576545,341395.35920564644,336865.1076394448,333081.04671013914,339929.26358333393,342107.21756305906
340962.45061903604,340074.6393292713,337526.54046136624,341408.77025231963,336892.4661746581,333082.6560357399,339926.5813739993,342114.1913073291
340957.62264223373,340083.2223991421,337521.176042697,341416.8168803235,336899.9763607951,333091.7755474777,339936.7737694709,342127.06591213535
340938.8471768912,340093.9512364807,337517.4209496285,341412.5253453881,336895.1483839927,333112.16033842094,339923.3627227977,342122.23793533305
340966.20571210457,340089.6597015452,337515.2751821608,341414.67111285584,336920.8975936053,333109.4781290863,339929.8000252009,342119.0192841315
340972.64301450766,340133.11149276636,337510.4472053584,341401.26006618264,336898.90347706125,333109.4781290863,339915.85253666074,342131.35744707077
340966.20571210457,340126.1377484963,337520.10315896315,341401.7965080496,336884.9559885211,333103.04082668317,339944.2839556079,342141.5498425424
340962.987060903,340249.5193778896,337528.686228834,341384.6303683079,336886.028872255,333142.7375248358,339942.6746300071,342125.45658653456
340953.3311072983,340235.5718893495,337529.22267070087,341411.45246165426,336900.51280266204,333133.618013098,339921.21695533005,342129.74812147004
-2249995.976685998,340925.972572085,340214.6506565393,337544.24304297485,341414.1346709889,336882.2737791865,333126.644268828,339938.3830950717
340922.7539208834,340211.43200533773,337547.4616941764,341404.4787173842,336886.028872255,333126.644268828,339941.06530440634,342135.64898200624
340920.0717115488,340198.02095866454,337555.5083221803,341428.08215952903,336903.19501199666,333129.86292002955,339943.74751374096,342141.5498425424
340869.64617605763,340147.05898130644,551.4622392013358,-1369237.8245875628,-1459806.3778646444,-1792623.4951762552,-1296728.050318724,-1880445.4660946687
340890.56740886776,340154.56916744343,337566.2371595189,341445.78474113764,336886.5653141219,333159.90366457746,339985.0535374944,342144.2320518771
340869.1097341907,340142.23100450414,337581.79397365975,341452.22204354074,336878.518686118,333162.0494320452,339980.225560692,342155.49733108253
340872.8648272592,340140.62167890335,337586.0855085952,341461.3415552785,336879.59156985185,333153.46636217437,339977.5433513574,342149.5964705463
340858.3808968521,340136.8665858348,337591.4499272645,342773.47836178285,282581.48224133044,388047.02616298513,-1791650.389629649,2848990.183948301
340848.1885013805,340136.33014396793,337593.05925286526,341442.56608993607,17.166139741675824,1363491.4593090368,1360545.3205758717,1350359.3624066547
340847.11561764666,340142.23100450414,337588.2312760629,341442.0296480691,336865.1076394448,333172.7782693837,339987.735746829,342171.0541452234
340890.0309670009,340135.25726023404,337585.5490667283,341444.17541553685,336917.6789424037,333159.3672227105,340000.61035163526,342171.59058709035
340879.83857152925,340132.5750508994,337588.76771792985,341460.80511341157,336923.5798029399,333166.3409669806,339993.1001654983,342182.3194244289
340886.8123157993,340138.4759114356,337588.76771792985,341452.22204354074,336915.53317493596,333163.658757646,339993.6366073652,342176.9550057596
340856.7715712514,340139.54879516945,337589.30415979674,341469.92462514935,336917.14250053675,333177.0698043191,17.166139741675824,1363542.9577282618
340900.2233624725,340137.4030277018,337591.4499272645,341479.0441368871,336936.9908496131,333171.1689437829,340007.0476540384,342192.51181990054
340909.87931607716,340143.303888238,337601.10588086915,341486.5543230241,336925.7255704076,333171.1689437829,340010.8027471069,342186.0745174974
340857.3080131183,340155.1056093104,337595.20502033294,341456.51357847615,336921.9704773391,333191.55373472616,340017.776491377,342189.82961056585
340922.7539208834,340150.81407437497,337595.7414621999,341481.72634622175,336920.8975936053,333184.5799904561,340008.12053777225,342190.90249429975
340934.0192000889,340145.44965570566,337611.8347182077,341491.3822998264,336946.1103613508,333175.46047871833,340005.9747703046,342206.4593084406
340936.1649675566,340140.62167890335,337616.1262531431,341499.96536969725,336954.6934312217,333179.7520136538,340010.8027471069,342211.8237271099
340919.5352696819,340145.9860975726,337619.8813462116,341477.43481128634,336925.1891285407,333178.142688053,340023.14091004623,342207.53219217446
340895.9318275371,340148.66830690723,337608.61606700614,341483.87211368943,336925.1891285407,333202.2825720647,340008.12053777225,342214.50593644456
340940.456502492,340152.95984184265,337611.8347182077,341484.4085555564,336951.47478002013,333197.9910371293,340004.3654447038,342210.21440150915
340952.2582235644,340142.23100450414,337637.0474859533,341511.23064890277,336964.3493848264,333192.0901765931,340020.9951425785,342210.21440150915
